channel_handle,channel_name,subscribers,n_videos,total_views,median_views,max_views,mean_duration_sec,top_video_title
@TrangEx,Trang Ex Dance Fitness,,61,2362242,17261,295760,185,No Batidão x E là không thể Remix| Trang Ex Dance Fitness | Choreography by Trang Ex
@Akalifornication,Akalifornication,55400.0,60,140862,1988,12749,2734,Dead Cells Multiplayer es REAL - Guía de Cómo Instalar el Multijugador en Dead Cells
@lacasadelacomedia,La casa de la Comedia,916000.0,60,15102075,226878,563695,2339,Xiomy Kanashiro gana el concurso de bikini en La Casa de la Comedia
@EmpirePhonk,EMPIRE PHONK,,60,21871626,296950,1270315,4208,AURA = ♾️ | 1 HOUR VIRAL AURA MUSIC PLAYLIST 2025 🔥 TRENDING PHONK HITS
@marcelpaa,Einfach Backen - Marcel Paa,,60,4447178,64065,297653,513,"Das einfachste 4-Zutaten Alltagsbrot ohne Kneten! Maximaler Geschmack, minimaler Aufwand"
@FelipeAvelloOficial,Felipe Avello Oficial,968000.0,60,11559731,163694,809923,2250,"''TOCH ME COCHABAMBA'' - Felipe Avello en vivo desde Cochabamba, #bolivia"
@siannews,Sián,49600.0,60,138003,374,38064,211,Shakira - Dai Dai (Mundial 2026) || VIDEO OFICIAL En Español - Lyrics
@einfachbacken,Einfach Backen,,60,373499,4398,26791,223,Bärlauch-Pesto 🌿 ✨ | Aromatisches Bärlauch-Pesto für jede Gelegenheit | Einfach Backen
channel/UCFK6NCbuCIVzA6Yj1G_ZqCg,Code Monkey,598000.0,60,653049,8608,28793,776,Unity 6.4 is OUT - What's NEW?!
@teekayy17,Teekay,,60,500478,4958,53156,536,Best Way To Build an Aesthetic Physique in 2026
@BeardBear,BeardBear,1510000.0,60,6202390,66077,681684,21050,Tomodachi Life: Living the Dream - Baby Born Scene
@corcobein,Simón Gómez,64800.0,59,339084,4620,16860,640,LAS MEJORES TARJETAS DE CRÉDITO PARA EL 2026
@SliceDoku,Slice Doku,,59,1678781,5709,343483,2786,Die vergessene Urzeit | Folge 1: Als Insekten die Erde dominierten | Slice Doku
channel/UCj83I0PrbdTDmoUXBosTyXg,ChillPanic,70100.0,59,816476,11337,45687,797,How to Make Suno Ai Songs With YOUR Voice  (NO Controlla)
channel/UCv85NiROLKddHa0fBATwTzw,Victor Robles WEB,379000.0,59,391664,4650,24647,671,Linus Torvalds anuncia el fin del código
@DJSilviuM,Dj Silviu M Official,,59,9396542,155113,342274,4300,Music Mix 2026 #1 Party Club Dance 2026 | Best Remixes Of Popular Songs 2025 MEGAMIX (DJ Silviu M)
channel/UCyUBW72KU30dfAYWLVNZO8Q,Stefan Mischook,277000.0,59,497783,6623,33028,645,Developer Roadmap for 2026 - things have Changed!
@WorkOutLikeADancer,Work Out Like A Dancer,315000.0,59,2396821,7877,784085,536,HAWAK MO ANG BEAT - DJ MOGO | ZUMBA | DANCE WORKOUT
@tessandyoann,Tess & Yoann,176000.0,59,2026430,21626,317040,2337,Japanese Walking Workout | 5000 Steps Workout at Home (Knee friendly)
@ryukiki,笠希々,,59,1707564,22211,100215,601,プペルを強引に別作品にねじ込むな「えんとつ町のプペル 約束の時計台」アニメレビュー
@carolborba,Carol Borba,,59,3620915,56574,146456,1046,Academia em CASA - Desafio de 30 dias pro corpo todo- hoje pernas - Carol Borba
@FabiZea,Fabi Zea,829000.0,59,673575,4378,157222,796,✅MENU SEMANAL CON $50 PESOS / 5 RECETAS  ECONÓMICO Y FACIL
@switchrank,SwitchRank,48800.0,59,1623992,9685,421235,800,TOP 10 BEST ARCADE Games on Nintendo Switch - Play in 2026
@MrMidnight1,Mr. Mid,60100.0,58,546119,6358,49245,3111,FLERTANDO EM... UNDERTALE?! | Love Maniac | Todos os Finais
@AqueleDanteLa,Aquele Dante,156000.0,58,1294889,14058,217847,8600,A Carol dublou o cara MAIS SUSPEITO desse jogo… | The Freak Circus
@horsemeet19,Horsemeet,199000.0,58,1112422,17038,46803,958,"""What it is like being a girl with 137 bodies"" - reading emails"
@GodOfCoffee,GodOfCoffee,1970000.0,58,4572175,60991,288558,1149,POPPY PLAYTIME 5 La Historia Completa y TODOS sus Secretos -CAPITULO 5 TODA LA HISTORIA en el 2026
@thewoodjunki,The Wood Junki,9510.0,58,573196,2753,69684,750,NEW TOOLS This Week In LIDL
@EusouoDepois,Eu sou o Depois,59900.0,57,402127,4278,29290,815,FIM DO DESBLOQUEIO - CARTA DE APOSENTADORIA
@YaleAppliance1,Yale Appliance,,57,734754,6801,69704,401,Induction Has Changed Fast: Here’s What You Need to Know Before You Buy or Specify
@StarTalkPlus,StarTalk Plus,310000.0,57,7962239,61128,698318,585,Why Mars Is Not Ready for Humans
@ZipTrader,ZipTrader,868000.0,57,5734554,87218,383512,1008,Trump's Plan to FLOOD the Market in 2026 (ACT NOW)
@Etienne_Beaumont6,Étienne Beaumont,,57,1567756,18304,122810,5260,Nikola Tesla — L'homme qui vivait cent ans en avance sur son époque! | Documentaire
@FoodwithChetna,Food with Chetna,371000.0,57,988042,11723,129174,838,The easiest and quickest dal to make at home - healthy dinner in 15 minutes!
@OdilonHuamani,odilon,1820000.0,57,787475,7732,293711,168,SFDK & Lia Kali - Un Cachito de Luz (Letra) hay un cachito de luz en mi oscuridad
